column,start,length
AGE,0,3
AGEDAY,3,3
AMONTH,6,2
ASOURCE,8,2
ASOURCEUB92,10,1
ASOURCE_X,11,3
ATYPE,14,2
AWEEKEND,16,2
DIED,18,2
DISCWT,20,11
DISPUB04,31,2
DISPUNIFORM,33,2
DQTR,35,2
DQTR_X,37,2
DRG,39,3
DRG24,42,3
DRGVER,45,2
DRG_NoPOA,47,3
DSHOSPID,50,17
DX1,67,5
DX2,72,5
DX3,77,5
DX4,82,5
DX5,87,5
DX6,92,5
DX7,97,5
DX8,102,5
DX9,107,5
DX10,112,5
DX11,117,5
DX12,122,5
DX13,127,5
DX14,132,5
DX15,137,5
DXCCS1,142,3
DXCCS2,145,3
DXCCS3,148,3
DXCCS4,151,3
DXCCS5,154,3
DXCCS6,157,3
DXCCS7,160,3
DXCCS8,163,3
DXCCS9,166,3
DXCCS10,169,3
DXCCS11,172,3
DXCCS12,175,3
DXCCS13,178,3
DXCCS14,181,3
DXCCS15,184,3
ECODE1,187,5
ECODE2,192,5
ECODE3,197,5
ECODE4,202,5
ELECTIVE,207,2
E_CCS1,209,4
E_CCS2,213,4
E_CCS3,217,4
E_CCS4,221,4
FEMALE,225,2
HCUP_ED,227,3
HOSPBRTH,230,2
HOSPID,232,5
HOSPST,237,2
KEY,239,14
LOS,253,5
LOS_X,258,6
MDC,264,2
MDC24,266,2
MDNUM1_R,268,5
MDNUM2_R,273,5
NCHRONIC,278,2
NDX,280,2
NECODE,282,3
NEOMAT,285,2
NIS_STRATUM,287,4
NPR,291,2
ORPROC,293,2
PAY1,295,2
PAY1_X,297,10
PAY2,307,2
PAY2_X,309,10
PL_NCHS2006,319,3
PR1,322,4
PR2,326,4
PR3,330,4
PR4,334,4
PR5,338,4
PR6,342,4
PR7,346,4
PR8,350,4
PR9,354,4
PR10,358,4
PR11,362,4
PR12,366,4
PR13,370,4
PR14,374,4
PR15,378,4
PRCCS1,382,3
PRCCS2,385,3
PRCCS3,388,3
PRCCS4,391,3
PRCCS5,394,3
PRCCS6,397,3
PRCCS7,400,3
PRCCS8,403,3
PRCCS9,406,3
PRCCS10,409,3
PRCCS11,412,3
PRCCS12,415,3
PRCCS13,418,3
PRCCS14,421,3
PRCCS15,424,3
PRDAY1,427,3
PRDAY2,430,3
PRDAY3,433,3
PRDAY4,436,3
PRDAY5,439,3
PRDAY6,442,3
PRDAY7,445,3
PRDAY8,448,3
PRDAY9,451,3
PRDAY10,454,3
PRDAY11,457,3
PRDAY12,460,3
PRDAY13,463,3
PRDAY14,466,3
PRDAY15,469,3
PointOfOriginUB04,472,1
PointOfOrigin_X,473,8
RACE,481,2
TOTCHG,483,10
TOTCHG_X,493,15
TRAN_IN,508,2
YEAR,510,4
ZIPINC_QRTL,514,2
