column,start,length
DISCWT,0,11
HOSP_BEDSIZE,11,2
HOSP_DIVISION,13,2
HOSP_LOCTEACH,15,2
HOSP_NIS,17,5
HOSP_REGION,22,2
H_CONTRL,24,2
NIS_STRATUM,26,4
N_DISC_U,30,8
N_HOSP_U,38,4
S_DISC_U,42,8
S_HOSP_U,50,4
TOTAL_DISC,54,6
YEAR,60,4
