column,start,length
HOSP_NIS,0,5
KEY_NIS,5,10
CHRON1,15,3
CHRON2,18,3
CHRON3,21,3
CHRON4,24,3
CHRON5,27,3
CHRON6,30,3
CHRON7,33,3
CHRON8,36,3
CHRON9,39,3
CHRON10,42,3
CHRON11,45,3
CHRON12,48,3
CHRON13,51,3
CHRON14,54,3
CHRON15,57,3
CHRON16,60,3
CHRON17,63,3
CHRON18,66,3
CHRON19,69,3
CHRON20,72,3
CHRON21,75,3
CHRON22,78,3
CHRON23,81,3
CHRON24,84,3
CHRON25,87,3
CHRONB1,90,3
CHRONB2,93,3
CHRONB3,96,3
CHRONB4,99,3
CHRONB5,102,3
CHRONB6,105,3
CHRONB7,108,3
CHRONB8,111,3
CHRONB9,114,3
CHRONB10,117,3
CHRONB11,120,3
CHRONB12,123,3
CHRONB13,126,3
CHRONB14,129,3
CHRONB15,132,3
CHRONB16,135,3
CHRONB17,138,3
CHRONB18,141,3
CHRONB19,144,3
CHRONB20,147,3
CHRONB21,150,3
CHRONB22,153,3
CHRONB23,156,3
CHRONB24,159,3
CHRONB25,162,3
DXMCCS1,165,11
E_MCCS1,176,11
PCLASS1,187,3
PCLASS2,190,3
PCLASS3,193,3
PCLASS4,196,3
PCLASS5,199,3
PCLASS6,202,3
PCLASS7,205,3
PCLASS8,208,3
PCLASS9,211,3
PCLASS10,214,3
PCLASS11,217,3
PCLASS12,220,3
PCLASS13,223,3
PCLASS14,226,3
PCLASS15,229,3
PRMCCS1,232,8
