column,start,length
AGE,0,3
AGEDAY,3,3
AMONTH,6,2
ASOURCE,8,2
ASOURCEUB92,10,1
ASOURCE_X,11,8
ATYPE,19,2
AWEEKEND,21,2
DIED,23,2
DISCWT,25,11
DISPUB92,36,2
DISPUNIFORM,38,2
DQTR,40,2
DRG,42,3
DRG18,45,3
DRGVER,48,2
DSHOSPID,50,13
DX1,63,5
DX2,68,5
DX3,73,5
DX4,78,5
DX5,83,5
DX6,88,5
DX7,93,5
DX8,98,5
DX9,103,5
DX10,108,5
DX11,113,5
DX12,118,5
DX13,123,5
DX14,128,5
DX15,133,5
DXCCS1,138,4
DXCCS2,142,4
DXCCS3,146,4
DXCCS4,150,4
DXCCS5,154,4
DXCCS6,158,4
DXCCS7,162,4
DXCCS8,166,4
DXCCS9,170,4
DXCCS10,174,4
DXCCS11,178,4
DXCCS12,182,4
DXCCS13,186,4
DXCCS14,190,4
DXCCS15,194,4
ECODE1,198,5
ECODE2,203,5
ECODE3,208,5
ECODE4,213,5
ELECTIVE,218,2
E_CCS1,220,4
E_CCS2,224,4
E_CCS3,228,4
E_CCS4,232,4
FEMALE,236,2
HOSPID,238,5
HOSPST,243,2
KEY,245,14
LOS,259,5
LOS_X,264,6
MDC,270,2
MDC18,272,2
MDNUM1_R,274,5
MDNUM2_R,279,5
NDX,284,2
NECODE,286,3
NEOMAT,289,2
NIS_STRATUM,291,4
NPR,295,2
PAY1,297,2
PAY1_X,299,10
PAY2,309,2
PAY2_X,311,10
PL_UR_CAT4,321,2
PR1,323,4
PR2,327,4
PR3,331,4
PR4,335,4
PR5,339,4
PR6,343,4
PR7,347,4
PR8,351,4
PR9,355,4
PR10,359,4
PR11,363,4
PR12,367,4
PR13,371,4
PR14,375,4
PR15,379,4
PRCCS1,383,3
PRCCS2,386,3
PRCCS3,389,3
PRCCS4,392,3
PRCCS5,395,3
PRCCS6,398,3
PRCCS7,401,3
PRCCS8,404,3
PRCCS9,407,3
PRCCS10,410,3
PRCCS11,413,3
PRCCS12,416,3
PRCCS13,419,3
PRCCS14,422,3
PRCCS15,425,3
PRDAY1,428,3
PRDAY2,431,3
PRDAY3,434,3
PRDAY4,437,3
PRDAY5,440,3
PRDAY6,443,3
PRDAY7,446,3
PRDAY8,449,3
PRDAY9,452,3
PRDAY10,455,3
PRDAY11,458,3
PRDAY12,461,3
PRDAY13,464,3
PRDAY14,467,3
PRDAY15,470,3
RACE,473,2
TOTCHG,475,10
TOTCHG_X,485,15
YEAR,500,4
ZIPInc_Qrtl,504,2
