column,start,length
HOSPID,0,5
KEY,5,14
CCSMGN1,19,3
CCSMGN2,22,3
CCSMGN3,25,3
CCSMGN4,28,3
CCSMGN5,31,3
CCSMGN6,34,3
CCSMGN7,37,3
CCSMGN8,40,3
CCSMGN9,43,3
CCSMGN10,46,3
CCSMGN11,49,3
CCSMGN12,52,3
CCSMGN13,55,3
CCSMGN14,58,3
CCSMGN15,61,3
CCSMSP1,64,4
CCSMSP2,68,4
CCSMSP3,72,4
CCSMSP4,76,4
CCSMSP5,80,4
CCSMSP6,84,4
CCSMSP7,88,4
CCSMSP8,92,4
CCSMSP9,96,4
CCSMSP10,100,4
CCSMSP11,104,4
CCSMSP12,108,4
CCSMSP13,112,4
CCSMSP14,116,4
CCSMSP15,120,4
CHRON1,124,3
CHRON2,127,3
CHRON3,130,3
CHRON4,133,3
CHRON5,136,3
CHRON6,139,3
CHRON7,142,3
CHRON8,145,3
CHRON9,148,3
CHRON10,151,3
CHRON11,154,3
CHRON12,157,3
CHRON13,160,3
CHRON14,163,3
CHRON15,166,3
CHRONB1,169,3
CHRONB2,172,3
CHRONB3,175,3
CHRONB4,178,3
CHRONB5,181,3
CHRONB6,184,3
CHRONB7,187,3
CHRONB8,190,3
CHRONB9,193,3
CHRONB10,196,3
CHRONB11,199,3
CHRONB12,202,3
CHRONB13,205,3
CHRONB14,208,3
CHRONB15,211,3
ECCSMGN1,214,3
ECCSMGN2,217,3
ECCSMGN3,220,3
ECCSMGN4,223,3
PCLASS1,226,3
PCLASS2,229,3
PCLASS3,232,3
PCLASS4,235,3
PCLASS5,238,3
PCLASS6,241,3
PCLASS7,244,3
PCLASS8,247,3
PCLASS9,250,3
PCLASS10,253,3
PCLASS11,256,3
PCLASS12,259,3
PCLASS13,262,3
PCLASS14,265,3
PCLASS15,268,3
