column,start,length
AGE,0,3
AGEDAY,3,3
AMONTH,6,2
ASOURCE,8,2
ASOURCEUB92,10,1
ASOURCE_X,11,8
ATYPE,19,2
AWEEKEND,21,2
DIED,23,2
DISCWT,25,11
DISPUB04,36,2
DISPUNIFORM,38,2
DQTR,40,2
DQTR_X,42,2
DRG,44,3
DRG24,47,3
DRGVER,50,2
DSHOSPID,52,13
DX1,65,5
DX2,70,5
DX3,75,5
DX4,80,5
DX5,85,5
DX6,90,5
DX7,95,5
DX8,100,5
DX9,105,5
DX10,110,5
DX11,115,5
DX12,120,5
DX13,125,5
DX14,130,5
DX15,135,5
DXCCS1,140,3
DXCCS2,143,3
DXCCS3,146,3
DXCCS4,149,3
DXCCS5,152,3
DXCCS6,155,3
DXCCS7,158,3
DXCCS8,161,3
DXCCS9,164,3
DXCCS10,167,3
DXCCS11,170,3
DXCCS12,173,3
DXCCS13,176,3
DXCCS14,179,3
DXCCS15,182,3
ECODE1,185,5
ECODE2,190,5
ECODE3,195,5
ECODE4,200,5
ELECTIVE,205,2
E_CCS1,207,4
E_CCS2,211,4
E_CCS3,215,4
E_CCS4,219,4
FEMALE,223,2
HCUP_ED,225,3
HOSPBRTH,228,2
HOSPID,230,5
HOSPST,235,2
KEY,237,14
LOS,251,5
LOS_X,256,6
MDC,262,2
MDC24,264,2
MDNUM1_R,266,5
MDNUM2_R,271,5
NDX,276,2
NECODE,278,3
NEOMAT,281,2
NIS_STRATUM,283,4
NPR,287,2
PAY1,289,2
PAY1_X,291,10
PAY2,301,2
PAY2_X,303,10
PL_NCHS2006,313,3
PR1,316,4
PR2,320,4
PR3,324,4
PR4,328,4
PR5,332,4
PR6,336,4
PR7,340,4
PR8,344,4
PR9,348,4
PR10,352,4
PR11,356,4
PR12,360,4
PR13,364,4
PR14,368,4
PR15,372,4
PRCCS1,376,3
PRCCS2,379,3
PRCCS3,382,3
PRCCS4,385,3
PRCCS5,388,3
PRCCS6,391,3
PRCCS7,394,3
PRCCS8,397,3
PRCCS9,400,3
PRCCS10,403,3
PRCCS11,406,3
PRCCS12,409,3
PRCCS13,412,3
PRCCS14,415,3
PRCCS15,418,3
PRDAY1,421,3
PRDAY2,424,3
PRDAY3,427,3
PRDAY4,430,3
PRDAY5,433,3
PRDAY6,436,3
PRDAY7,439,3
PRDAY8,442,3
PRDAY9,445,3
PRDAY10,448,3
PRDAY11,451,3
PRDAY12,454,3
PRDAY13,457,3
PRDAY14,460,3
PRDAY15,463,3
PointOfOriginUB04,466,1
PointOfOrigin_X,467,8
RACE,475,2
TOTCHG,477,10
TOTCHG_X,487,15
YEAR,502,4
ZIPINC_QRTL,506,2
