column,start,length
AGE,0,3
AGEDAY,3,3
AMONTH,6,2
ASOURCE,8,2
ASOURCEUB92,10,1
ASOURCE_X,11,8
ATYPE,19,2
AWEEKEND,21,2
DIED,23,2
DISCWT,25,11
DISPUB92,36,2
DISPUNIFORM,38,2
DQTR,40,2
DQTR_X,42,2
DRG,44,3
DRG24,47,3
DRGVER,50,2
DSHOSPID,52,13
DX1,65,5
DX2,70,5
DX3,75,5
DX4,80,5
DX5,85,5
DX6,90,5
DX7,95,5
DX8,100,5
DX9,105,5
DX10,110,5
DX11,115,5
DX12,120,5
DX13,125,5
DX14,130,5
DX15,135,5
DXCCS1,140,4
DXCCS2,144,4
DXCCS3,148,4
DXCCS4,152,4
DXCCS5,156,4
DXCCS6,160,4
DXCCS7,164,4
DXCCS8,168,4
DXCCS9,172,4
DXCCS10,176,4
DXCCS11,180,4
DXCCS12,184,4
DXCCS13,188,4
DXCCS14,192,4
DXCCS15,196,4
ECODE1,200,5
ECODE2,205,5
ECODE3,210,5
ECODE4,215,5
ELECTIVE,220,2
E_CCS1,222,4
E_CCS2,226,4
E_CCS3,230,4
E_CCS4,234,4
FEMALE,238,2
HOSPBRTH,240,2
HOSPID,242,5
HOSPST,247,2
KEY,249,14
LOS,263,5
LOS_X,268,6
MDC,274,2
MDC24,276,2
MDNUM1_R,278,5
MDNUM2_R,283,5
NDX,288,2
NECODE,290,3
NEOMAT,293,2
NIS_STRATUM,295,4
NPR,299,2
PAY1,301,2
PAY1_X,303,10
PAY2,313,2
PAY2_X,315,10
PL_UR_CAT4,325,2
PR1,327,4
PR2,331,4
PR3,335,4
PR4,339,4
PR5,343,4
PR6,347,4
PR7,351,4
PR8,355,4
PR9,359,4
PR10,363,4
PR11,367,4
PR12,371,4
PR13,375,4
PR14,379,4
PR15,383,4
PRCCS1,387,3
PRCCS2,390,3
PRCCS3,393,3
PRCCS4,396,3
PRCCS5,399,3
PRCCS6,402,3
PRCCS7,405,3
PRCCS8,408,3
PRCCS9,411,3
PRCCS10,414,3
PRCCS11,417,3
PRCCS12,420,3
PRCCS13,423,3
PRCCS14,426,3
PRCCS15,429,3
PRDAY1,432,3
PRDAY2,435,3
PRDAY3,438,3
PRDAY4,441,3
PRDAY5,444,3
PRDAY6,447,3
PRDAY7,450,3
PRDAY8,453,3
PRDAY9,456,3
PRDAY10,459,3
PRDAY11,462,3
PRDAY12,465,3
PRDAY13,468,3
PRDAY14,471,3
PRDAY15,474,3
RACE,477,2
TOTCHG,479,10
TOTCHG_X,489,15
YEAR,504,4
ZIPINC_QRTL,508,2
