column,start,length
HOSPID,0,5
KEY,5,14
CHRON1,19,3
CHRON2,22,3
CHRON3,25,3
CHRON4,28,3
CHRON5,31,3
CHRON6,34,3
CHRON7,37,3
CHRON8,40,3
CHRON9,43,3
CHRON10,46,3
CHRON11,49,3
CHRON12,52,3
CHRON13,55,3
CHRON14,58,3
CHRON15,61,3
CHRONB1,64,3
CHRONB2,67,3
CHRONB3,70,3
CHRONB4,73,3
CHRONB5,76,3
CHRONB6,79,3
CHRONB7,82,3
CHRONB8,85,3
CHRONB9,88,3
CHRONB10,91,3
CHRONB11,94,3
CHRONB12,97,3
CHRONB13,100,3
CHRONB14,103,3
CHRONB15,106,3
PCLASS1,109,3
PCLASS2,112,3
PCLASS3,115,3
PCLASS4,118,3
PCLASS5,121,3
PCLASS6,124,3
PCLASS7,127,3
PCLASS8,130,3
PCLASS9,133,3
PCLASS10,136,3
PCLASS11,139,3
PCLASS12,142,3
PCLASS13,145,3
PCLASS14,148,3
PCLASS15,151,3
