column,start,length
HOSPID,0,5
KEY,5,14
CHRON1,19,3
CHRON2,22,3
CHRON3,25,3
CHRON4,28,3
CHRON5,31,3
CHRON6,34,3
CHRON7,37,3
CHRON8,40,3
CHRON9,43,3
CHRON10,46,3
CHRON11,49,3
CHRON12,52,3
CHRON13,55,3
CHRON14,58,3
CHRON15,61,3
CHRON16,64,3
CHRON17,67,3
CHRON18,70,3
CHRON19,73,3
CHRON20,76,3
CHRON21,79,3
CHRON22,82,3
CHRON23,85,3
CHRON24,88,3
CHRON25,91,3
CHRONB1,94,3
CHRONB2,97,3
CHRONB3,100,3
CHRONB4,103,3
CHRONB5,106,3
CHRONB6,109,3
CHRONB7,112,3
CHRONB8,115,3
CHRONB9,118,3
CHRONB10,121,3
CHRONB11,124,3
CHRONB12,127,3
CHRONB13,130,3
CHRONB14,133,3
CHRONB15,136,3
CHRONB16,139,3
CHRONB17,142,3
CHRONB18,145,3
CHRONB19,148,3
CHRONB20,151,3
CHRONB21,154,3
CHRONB22,157,3
CHRONB23,160,3
CHRONB24,163,3
CHRONB25,166,3
DXMCCS1,169,11
E_MCCS1,180,11
PCLASS1,191,3
PCLASS2,194,3
PCLASS3,197,3
PCLASS4,200,3
PCLASS5,203,3
PCLASS6,206,3
PCLASS7,209,3
PCLASS8,212,3
PCLASS9,215,3
PCLASS10,218,3
PCLASS11,221,3
PCLASS12,224,3
PCLASS13,227,3
PCLASS14,230,3
PCLASS15,233,3
PRMCCS1,236,8
